,items,support,count,,,,
17721,"{poodle=false,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.852871008,62918,,,
17726,"{SSL2Enabled=0,poodle=false,keyAlg=\RSA\""}""",0.852816787,62914,,,,
17718,"{SSL2Enabled=0,poodle=false,sigAlg=\SHA256withRSA\""}""",0.85223391,62871,,,,
17712,"{heartbleed=false,poodle=false,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.851651033,62828,,,
17725,"{SSL2Enabled=0,heartbleed=false,poodle=false,keyAlg=\RSA\""}""",0.851569701,62822,,,,
17717,"{SSL2Enabled=0,heartbleed=false,poodle=false,sigAlg=\SHA256withRSA\""}""",0.851013935,62781,,,,
17657,"{keySize=2048,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.847977552,62557,,,
17673,"{keySize=2048,sigAlg=\SHA256withRSA\""}""",0.847977552,62557,,,,
17648,"{heartbleed=false,keySize=2048,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.846215366,62427,,,
17655,"{heartbleed=false,keySize=2048,sigAlg=\SHA256withRSA\""}""",0.846215366,62427,,,,
17711,"{SSL2Enabled=0,poodle=false,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.845442715,62370,,,
17710,"{SSL2Enabled=0,heartbleed=false,poodle=false,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.84422274,62280,,,
17769,"{SSL3Enabled=0,sigAlg=\SHA256withRSA\""}""",0.843300981,62212,,,,
17768,"{SSL3Enabled=0,keyAlg=\RSA\""}""",0.843192539,62204,,,,
17706,"{SSL3Enabled=0,poodle=false,sigAlg=\SHA256withRSA\""}""",0.843124763,62199,,,,
17705,"{SSL3Enabled=0,poodle=false,keyAlg=\RSA\""}""",0.843016321,62191,,,,
17750,"{SSL2Enabled=0,SSL3Enabled=0,sigAlg=\SHA256withRSA\""}""",0.842555441,62157,,,,
17758,"{SSL2Enabled=0,SSL3Enabled=0,keyAlg=\RSA\""}""",0.842419888,62147,,,,
17687,"{SSL2Enabled=0,SSL3Enabled=0,poodle=false,sigAlg=\SHA256withRSA\""}""",0.842379222,62144,,,,
17695,"{SSL2Enabled=0,SSL3Enabled=0,poodle=false,keyAlg=\RSA\""}""",0.84224367,62134,,,,
17688,"{SSL3Enabled=0,heartbleed=false,poodle=false,sigAlg=\SHA256withRSA\""}""",0.841945454,62112,,,,
17751,"{SSL3Enabled=0,heartbleed=false,sigAlg=\SHA256withRSA\""}""",0.841945454,62112,,,,
17696,"{SSL3Enabled=0,heartbleed=false,poodle=false,keyAlg=\RSA\""}""",0.841796345,62101,,,,
17759,"{SSL3Enabled=0,heartbleed=false,keyAlg=\RSA\""}""",0.841796345,62101,,,,
17686,"{SSL2Enabled=0,SSL3Enabled=0,heartbleed=false,poodle=false,sigAlg=\SHA256withRSA\""}""",0.841199913,62057,,,,
17749,"{SSL2Enabled=0,SSL3Enabled=0,heartbleed=false,sigAlg=\SHA256withRSA\""}""",0.841199913,62057,,,,
17694,"{SSL2Enabled=0,SSL3Enabled=0,heartbleed=false,poodle=false,keyAlg=\RSA\""}""",0.84103725,62045,,,,
17757,"{SSL2Enabled=0,SSL3Enabled=0,heartbleed=false,keyAlg=\RSA\""}""",0.84103725,62045,,,,
17728,"{poodle=false,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""}""",0.836767337,61730,,,
17753,"{SSL3Enabled=0,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.836509787,61711,,,
17669,"{SSL2Enabled=0,keySize=2048}",0.836482676,61709,,,,
17662,"{SSL2Enabled=0,keySize=2048,keyAlg=\RSA\""}""",0.836469121,61708,,,,
17690,"{SSL3Enabled=0,poodle=false,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.836333568,61698,,,
17724,"{heartbleed=false,poodle=false,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""}""",0.836265792,61693,,,
17743,"{SSL2Enabled=0,SSL3Enabled=0,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.835764247,61656,,,
17680,"{SSL2Enabled=0,SSL3Enabled=0,poodle=false,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.835588028,61643,,,
17681,"{SSL3Enabled=0,heartbleed=false,poodle=false,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.835154259,61611,,,
17744,"{SSL3Enabled=0,heartbleed=false,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.835154259,61611,,,
17671,"{hpkpPolicy.status=\absent\""","keySize=2048}""",0.83495093,61596,,,
17664,"{hpkpPolicy.status=\absent\""",keySize=2048,"keyAlg=\""RSA\""}""",0.834937375,61595,,
17668,"{SSL2Enabled=0,heartbleed=false,keySize=2048}",0.834815377,61586,,,,
17661,"{SSL2Enabled=0,heartbleed=false,keySize=2048,keyAlg=\RSA\""}""",0.834801822,61585,,,,
17720,"{poodle=false,hpkpPolicy.status=\absent\""","sigAlg=\""SHA256withRSA\""}""",0.834571382,61568,,,
17679,"{SSL2Enabled=0,SSL3Enabled=0,heartbleed=false,poodle=false,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.834408719,61556,,,
17742,"{SSL2Enabled=0,SSL3Enabled=0,heartbleed=false,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.834408719,61556,,,
17716,"{heartbleed=false,poodle=false,hpkpPolicy.status=\absent\""","sigAlg=\""SHA256withRSA\""}""",0.834083392,61532,,,
17667,"{heartbleed=false,hpkpPolicy.status=\absent\""","keySize=2048}""",0.834069837,61531,,,
17660,"{heartbleed=false,hpkpPolicy.status=\absent\""",keySize=2048,"keyAlg=\""RSA\""}""",0.834056282,61530,,
17713,"{poodle=false,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""","sigAlg=\""SHA256withRSA\""}""",0.829488153,61193,,
17647,"{SSL2Enabled=0,keySize=2048,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.829013718,61158,,,
17654,"{SSL2Enabled=0,keySize=2048,sigAlg=\SHA256withRSA\""}""",0.829013718,61158,,,,
17709,"{heartbleed=false,poodle=false,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""","sigAlg=\""SHA256withRSA\""}""",0.829000163,61157,,
17723,"{SSL2Enabled=0,poodle=false,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""}""",0.828715502,61136,,,
17722,"{SSL2Enabled=0,heartbleed=false,poodle=false,hpkpPolicy.status=\absent\""","keyAlg=\""RSA\""}""",0.828227512,61100,,,
17646,"{SSL2Enabled=0,heartbleed=false,keySize=2048,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.827346419,61035,,,
17653,"{SSL2Enabled=0,heartbleed=false,keySize=2048,sigAlg=\SHA256withRSA\""}""",0.827346419,61035,,,,
17715,"{SSL2Enabled=0,poodle=false,hpkpPolicy.status=\absent\""","sigAlg=\""SHA256withRSA\""}""",0.827156645,61021,,,
17714,"{SSL2Enabled=0,heartbleed=false,poodle=false,hpkpPolicy.status=\absent\""","sigAlg=\""SHA256withRSA\""}""",0.826668655,60985,,,
17649,"{hpkpPolicy.status=\absent\""",keySize=2048,"keyAlg=\""RSA\""","sigAlg=\""SHA256withRSA\""}""",0.826655099,60984,
17656,"{hpkpPolicy.status=\absent\""",keySize=2048,"sigAlg=\""SHA256withRSA\""}""",0.826655099,60984,,
17645,"{heartbleed=false,hpkpPolicy.status=\absent\""",keySize=2048,"keyAlg=\""RSA\""","sigAlg=\""SHA256withRSA\""}""",0.825774006,60919,
17652,"{heartbleed=false,hpkpPolicy.status=\absent\""",keySize=2048,"sigAlg=\""SHA256withRSA\""}""",0.825774006,60919,,
17804,{supportsRc4=false},0.82378138,60772,,,,
17541,"{SSL2Enabled=0,supportsRc4=false}",0.822764735,60697,,,,
