"","rules","support","confidence","lift","count"
"266","{rating=A+,TLS11Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.11471832131432,1,1.02229674486925,8463
"267","{rating=A+,SSL2Enabled=0,TLS11Enabled=1} => {TLS12Enabled=1}",0.11471832131432,1,1.09131791890413,8463
"527","{rating=A+,SSL3Enabled=0,TLS11Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.11471832131432,1,1.02229674486925,8463
"528","{rating=A+,SSL2Enabled=0,SSL3Enabled=0,TLS11Enabled=1} => {TLS12Enabled=1}",0.11471832131432,1,1.09131791890413,8463
"529","{rating=A+,SSL2Enabled=0,TLS11Enabled=1,TLS12Enabled=1} => {SSL3Enabled=0}",0.11471832131432,1,1.10498329913275,8463
"499","{rating=B,SSL3Enabled=0,TLS1Enabled=1,TLS11Enabled=1} => {SSL2Enabled=0}",0.114108333785176,1,1.02229674486925,8418
"639","{rating=B,SSL3Enabled=0,TLS1Enabled=1,TLS11Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.114094778506751,1,1.02229674486925,8417
"63","{rating=A+,TLS1Enabled=1} => {SSL3Enabled=0}",0.107601800140975,1,1.10498329913275,7938
"64","{rating=A+,TLS1Enabled=1} => {SSL2Enabled=0}",0.107601800140975,1,1.02229674486925,7938
"269","{rating=A+,SSL3Enabled=0,TLS1Enabled=1} => {SSL2Enabled=0}",0.107601800140975,1,1.02229674486925,7938
"270","{rating=A+,SSL2Enabled=0,TLS1Enabled=1} => {SSL3Enabled=0}",0.107601800140975,1,1.10498329913275,7938
"268","{rating=A+,TLS1Enabled=1,TLS12Enabled=1} => {SSL3Enabled=0}",0.107588244862549,1,1.10498329913275,7937
"271","{rating=A+,TLS1Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.107588244862549,1,1.02229674486925,7937
"530","{rating=A+,SSL3Enabled=0,TLS1Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.107588244862549,1,1.02229674486925,7937
"531","{rating=A+,SSL2Enabled=0,TLS1Enabled=1,TLS12Enabled=1} => {SSL3Enabled=0}",0.107588244862549,1,1.10498329913275,7937
"259","{rating=A+,TLS1Enabled=1,TLS11Enabled=1} => {SSL3Enabled=0}",0.106829149270726,1,1.10498329913275,7881
"260","{rating=A+,TLS1Enabled=1,TLS11Enabled=1} => {TLS12Enabled=1}",0.106829149270726,1,1.09131791890413,7881
"261","{rating=A+,TLS1Enabled=1,TLS11Enabled=1} => {SSL2Enabled=0}",0.106829149270726,1,1.02229674486925,7881
"521","{rating=A+,SSL3Enabled=0,TLS1Enabled=1,TLS11Enabled=1} => {TLS12Enabled=1}",0.106829149270726,1,1.09131791890413,7881
"522","{rating=A+,TLS1Enabled=1,TLS11Enabled=1,TLS12Enabled=1} => {SSL3Enabled=0}",0.106829149270726,1,1.10498329913275,7881
"523","{rating=A+,SSL3Enabled=0,TLS1Enabled=1,TLS11Enabled=1} => {SSL2Enabled=0}",0.106829149270726,1,1.02229674486925,7881
"524","{rating=A+,SSL2Enabled=0,TLS1Enabled=1,TLS11Enabled=1} => {SSL3Enabled=0}",0.106829149270726,1,1.10498329913275,7881
"525","{rating=A+,TLS1Enabled=1,TLS11Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.106829149270726,1,1.02229674486925,7881
"526","{rating=A+,SSL2Enabled=0,TLS1Enabled=1,TLS11Enabled=1} => {TLS12Enabled=1}",0.106829149270726,1,1.09131791890413,7881
"647","{rating=A+,SSL3Enabled=0,TLS1Enabled=1,TLS11Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.106829149270726,1,1.02229674486925,7881
"648","{rating=A+,SSL2Enabled=0,SSL3Enabled=0,TLS1Enabled=1,TLS11Enabled=1} => {TLS12Enabled=1}",0.106829149270726,1,1.09131791890413,7881
"649","{rating=A+,SSL2Enabled=0,TLS1Enabled=1,TLS11Enabled=1,TLS12Enabled=1} => {SSL3Enabled=0}",0.106829149270726,1,1.10498329913275,7881
"3","{rating=A-} => {SSL2Enabled=0}",0.0982351027490105,1,1.02229674486925,7247
"48","{rating=A-,SSL3Enabled=0} => {SSL2Enabled=0}",0.098221547470585,1,1.02229674486925,7246
"49","{rating=A-,TLS12Enabled=1} => {SSL2Enabled=0}",0.096472916553706,1,1.02229674486925,7117
"228","{rating=A-,SSL3Enabled=0,TLS12Enabled=1} => {SSL2Enabled=0}",0.0964593612752806,1,1.02229674486925,7116
"2","{rating=C} => {SSL2Enabled=0}",0.0837038442769615,1,1.02229674486925,6175
"44","{rating=A-,TLS11Enabled=1} => {TLS12Enabled=1}",0.0829040828498617,1,1.09131791890413,6116
"45","{rating=A-,TLS11Enabled=1} => {SSL2Enabled=0}",0.0829040828498617,1,1.02229674486925,6116
"222","{rating=A-,TLS11Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.0829040828498617,1,1.02229674486925,6116
"223","{rating=A-,SSL2Enabled=0,TLS11Enabled=1} => {TLS12Enabled=1}",0.0829040828498617,1,1.09131791890413,6116
"220","{rating=A-,SSL3Enabled=0,TLS11Enabled=1} => {TLS12Enabled=1}",0.0828905275714363,1,1.09131791890413,6115
"221","{rating=A-,SSL3Enabled=0,TLS11Enabled=1} => {SSL2Enabled=0}",0.0828905275714363,1,1.02229674486925,6115
"483","{rating=A-,SSL3Enabled=0,TLS11Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.0828905275714363,1,1.02229674486925,6115
"484","{rating=A-,SSL2Enabled=0,SSL3Enabled=0,TLS11Enabled=1} => {TLS12Enabled=1}",0.0828905275714363,1,1.09131791890413,6115
"35","{rating=C,TLS1Enabled=1} => {SSL2Enabled=0}",0.078674835981131,1,1.02229674486925,5804
"46","{rating=A-,TLS1Enabled=1} => {TLS12Enabled=1}",0.0774413056444179,1,1.09131791890413,5713
"47","{rating=A-,TLS1Enabled=1} => {SSL2Enabled=0}",0.0774413056444179,1,1.02229674486925,5713
"226","{rating=A-,TLS1Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.0774413056444179,1,1.02229674486925,5713
"227","{rating=A-,SSL2Enabled=0,TLS1Enabled=1} => {TLS12Enabled=1}",0.0774413056444179,1,1.09131791890413,5713
"224","{rating=A-,SSL3Enabled=0,TLS1Enabled=1} => {TLS12Enabled=1}",0.0774277503659925,1,1.09131791890413,5712
"225","{rating=A-,SSL3Enabled=0,TLS1Enabled=1} => {SSL2Enabled=0}",0.0774277503659925,1,1.02229674486925,5712
"485","{rating=A-,SSL3Enabled=0,TLS1Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.0774277503659925,1,1.02229674486925,5712
"486","{rating=A-,SSL2Enabled=0,SSL3Enabled=0,TLS1Enabled=1} => {TLS12Enabled=1}",0.0774277503659925,1,1.09131791890413,5712
"218","{rating=A-,TLS1Enabled=1,TLS11Enabled=1} => {TLS12Enabled=1}",0.0752317952610747,1,1.09131791890413,5550
"219","{rating=A-,TLS1Enabled=1,TLS11Enabled=1} => {SSL2Enabled=0}",0.0752317952610747,1,1.02229674486925,5550
"481","{rating=A-,TLS1Enabled=1,TLS11Enabled=1,TLS12Enabled=1} => {SSL2Enabled=0}",0.0752317952610747,1,1.02229674486925,5550
"482","{rating=A-,SSL2Enabled=0,TLS1Enabled=1,TLS11Enabled=1} => {TLS12Enabled=1}",0.0752317952610747,1,1.09131791890413,5550
