,items,support,count,
87,"{rating=A,keyAlg=\EC\""","sigAlg=\""SHA256withECDSA\""}""",0.028615193,2111
89,"{rating=A,sigAlg=\SHA256withECDSA\""}""",0.028615193,2111,
82,"{rating=A,keySize=256,keyAlg=\EC\""","sigAlg=\""SHA256withECDSA\""}""",0.028520306,2104
84,"{rating=A,keySize=256,sigAlg=\SHA256withECDSA\""}""",0.028520306,2104,
133,"{rating=A+,keySize=4096,keyAlg=\RSA\""}""",0.022284878,1644,
142,"{rating=A+,keySize=4096}",0.022284878,1644,
132,"{rating=A+,keySize=4096,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.022244212,1641
134,"{rating=A+,keySize=4096,sigAlg=\SHA256withRSA\""}""",0.022244212,1641,
43,"{keySize=null,keyAlg=null,sigAlg=null}",0.021458006,1583,
58,"{keySize=null,keyAlg=null}",0.021458006,1583,
59,"{keySize=null,sigAlg=null}",0.021458006,1583,
74,"{keyAlg=null,sigAlg=null}",0.021458006,1583,
207,{keyAlg=null},0.021458006,1583,
208,{sigAlg=null},0.021458006,1583,
209,{keySize=null},0.021458006,1583,
25,"{keyAlg=\RSA\""","sigAlg=\""SHA1withRSA\""}""",0.010410454,768
210,"{sigAlg=\SHA1withRSA\""}""",0.010410454,768,
129,"{rating=B,keySize=4096,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.008716044,643
130,"{rating=B,keySize=4096,keyAlg=\RSA\""}""",0.008716044,643,
131,"{rating=B,keySize=4096,sigAlg=\SHA256withRSA\""}""",0.008716044,643,
143,"{rating=B,keySize=4096}",0.008716044,643,
24,"{keySize=2048,keyAlg=\RSA\""","sigAlg=\""SHA1withRSA\""}""",0.008092501,597
26,"{keySize=2048,sigAlg=\SHA1withRSA\""}""",0.008092501,597,
108,"{rating=A+,keyAlg=\EC\""}""",0.007902727,583,
106,"{keyAlg=\EC\""","sigAlg=\""SHA256withRSA\""}""",0.00680475,502
19,"{rating=T,keyAlg=\RSA\""","sigAlg=\""SHA1withRSA\""}""",0.006398091,472
28,"{rating=T,sigAlg=\SHA1withRSA\""}""",0.006398091,472,
29,"{rating=A,keySize=null,keyAlg=null,sigAlg=null}",0.00608632,449,
36,"{rating=A,keySize=null,sigAlg=null}",0.00608632,449,
44,"{rating=A,keySize=null,keyAlg=null}",0.00608632,449,
51,"{rating=A,keySize=null}",0.00608632,449,
60,"{rating=A,keyAlg=null,sigAlg=null}",0.00608632,449,
67,"{rating=A,sigAlg=null}",0.00608632,449,
75,"{rating=A,keyAlg=null}",0.00608632,449,
97,"{rating=A+,keySize=256,keyAlg=\EC\""}""",0.005747438,424,
102,"{rating=A+,keySize=256}",0.005747438,424,
18,"{rating=T,keySize=2048,keyAlg=\RSA\""","sigAlg=\""SHA1withRSA\""}""",0.00511034,377
20,"{rating=T,keySize=2048,sigAlg=\SHA1withRSA\""}""",0.00511034,377,
126,"{rating=A-,keySize=4096,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.005096785,376
127,"{rating=A-,keySize=4096,keyAlg=\RSA\""}""",0.005096785,376,
128,"{rating=A-,keySize=4096,sigAlg=\SHA256withRSA\""}""",0.005096785,376,
144,"{rating=A-,keySize=4096}",0.005096785,376,
31,"{rating=B,keySize=null,keyAlg=null,sigAlg=null}",0.0048799,360,
38,"{rating=B,keySize=null,sigAlg=null}",0.0048799,360,
46,"{rating=B,keySize=null,keyAlg=null}",0.0048799,360,
53,"{rating=B,keySize=null}",0.0048799,360,
62,"{rating=B,keyAlg=null,sigAlg=null}",0.0048799,360,
69,"{rating=B,sigAlg=null}",0.0048799,360,
77,"{rating=B,keyAlg=null}",0.0048799,360,
121,"{rating=C,keySize=4096,keyAlg=\RSA\""}""",0.004717237,348,
146,"{rating=C,keySize=4096}",0.004717237,348,
120,"{rating=C,keySize=4096,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.004703682,347
122,"{rating=C,keySize=4096,sigAlg=\SHA256withRSA\""}""",0.004703682,347,
88,"{rating=A+,keyAlg=\EC\""","sigAlg=\""SHA256withECDSA\""}""",0.004513908,333
90,"{rating=A+,sigAlg=\SHA256withECDSA\""}""",0.004513908,333,
95,"{keySize=256,keyAlg=\EC\""","sigAlg=\""SHA256withRSA\""}""",0.004405465,325
100,"{keySize=256,sigAlg=\SHA256withRSA\""}""",0.004405465,325,
83,"{rating=A+,keySize=256,keyAlg=\EC\""","sigAlg=\""SHA256withECDSA\""}""",0.004120805,304
85,"{rating=A+,keySize=256,sigAlg=\SHA256withECDSA\""}""",0.004120805,304,
22,"{rating=F,keyAlg=\RSA\""","sigAlg=\""SHA1withRSA\""}""",0.004012362,296
27,"{rating=F,sigAlg=\SHA1withRSA\""}""",0.004012362,296,
110,"{rating=T,keySize=4096,keyAlg=\RSA\""}""",0.00364637,269,
119,"{rating=T,keySize=4096}",0.00364637,269,
124,"{rating=F,keySize=4096,keyAlg=\RSA\""}""",0.003524372,260,
145,"{rating=F,keySize=4096}",0.003524372,260,
123,"{rating=F,keySize=4096,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.003429485,253
125,"{rating=F,keySize=4096,sigAlg=\SHA256withRSA\""}""",0.003429485,253,
104,"{rating=A+,keyAlg=\EC\""","sigAlg=\""SHA256withRSA\""}""",0.003375264,249
109,"{rating=T,keySize=4096,keyAlg=\RSA\""","sigAlg=\""SHA256withRSA\""}""",0.003253267,240
111,"{rating=T,keySize=4096,sigAlg=\SHA256withRSA\""}""",0.003253267,240,
105,"{rating=A,keyAlg=\EC\""","sigAlg=\""SHA256withRSA\""}""",0.003104159,229
21,"{rating=F,keySize=2048,keyAlg=\RSA\""","sigAlg=\""SHA1withRSA\""}""",0.002982161,220
23,"{rating=F,keySize=2048,sigAlg=\SHA1withRSA\""}""",0.002982161,220,
211,{keySize=1024},0.002982161,220,
14,"{keySize=1024,keyAlg=\RSA\""}""",0.002968606,219,
8,"{keySize=384,keyAlg=\EC\""}""",0.00290083,214,
212,{keySize=384},0.00290083,214,
30,"{rating=A+,keySize=null,keyAlg=null,sigAlg=null}",0.002683945,198,
37,"{rating=A+,keySize=null,sigAlg=null}",0.002683945,198,
45,"{rating=A+,keySize=null,keyAlg=null}",0.002683945,198,
52,"{rating=A+,keySize=null}",0.002683945,198,
61,"{rating=A+,keyAlg=null,sigAlg=null}",0.002683945,198,
68,"{rating=A+,sigAlg=null}",0.002683945,198,
76,"{rating=A+,keyAlg=null}",0.002683945,198,
33,"{rating=F,keySize=null,keyAlg=null,sigAlg=null}",0.002534837,187,
40,"{rating=F,keySize=null,sigAlg=null}",0.002534837,187,
48,"{rating=F,keySize=null,keyAlg=null}",0.002534837,187,
55,"{rating=F,keySize=null}",0.002534837,187,
64,"{rating=F,keyAlg=null,sigAlg=null}",0.002534837,187,
71,"{rating=F,sigAlg=null}",0.002534837,187,
79,"{rating=F,keyAlg=null}",0.002534837,187,
94,"{rating=A,keySize=256,keyAlg=\EC\""","sigAlg=\""SHA256withRSA\""}""",0.002480616,183
99,"{rating=A,keySize=256,sigAlg=\SHA256withRSA\""}""",0.002480616,183,
3,"{keySize=384,keyAlg=\EC\""","sigAlg=\""SHA256withRSA\""}""",0.002399284,177
6,"{keySize=384,sigAlg=\SHA256withRSA\""}""",0.002399284,177,
4,"{rating=A+,keySize=384,keyAlg=\EC\""}""",0.002087513,154,
7,"{rating=A+,keySize=384}",0.002087513,154,
10,"{keySize=1024,keyAlg=\RSA\""","sigAlg=\""SHA1withRSA\""}""",0.002073958,153
17,"{keySize=1024,sigAlg=\SHA1withRSA\""}""",0.002073958,153,
34,"{rating=C,keySize=null,keyAlg=null,sigAlg=null}",0.002006181,148,
41,"{rating=C,keySize=null,sigAlg=null}",0.002006181,148,
49,"{rating=C,keySize=null,keyAlg=null}",0.002006181,148,
56,"{rating=C,keySize=null}",0.002006181,148,
65,"{rating=C,keyAlg=null,sigAlg=null}",0.002006181,148,
72,"{rating=C,sigAlg=null}",0.002006181,148,
80,"{rating=C,keyAlg=null}",0.002006181,148,
32,"{rating=A-,keySize=null,keyAlg=null,sigAlg=null}",0.001775741,131,
39,"{rating=A-,keySize=null,sigAlg=null}",0.001775741,131,
47,"{rating=A-,keySize=null,keyAlg=null}",0.001775741,131,
54,"{rating=A-,keySize=null}",0.001775741,131,
63,"{rating=A-,keyAlg=null,sigAlg=null}",0.001775741,131,
70,"{rating=A-,sigAlg=null}",0.001775741,131,
78,"{rating=A-,keyAlg=null}",0.001775741,131,
2,"{rating=A+,keySize=384,keyAlg=\EC\""","sigAlg=\""SHA256withRSA\""}""",0.001748631,129
5,"{rating=A+,keySize=384,sigAlg=\SHA256withRSA\""}""",0.001748631,129,
93,"{rating=A+,keySize=256,keyAlg=\EC\""","sigAlg=\""SHA256withRSA\""}""",0.001626633,120
98,"{rating=A+,keySize=256,sigAlg=\SHA256withRSA\""}""",0.001626633,120,
16,"{rating=T,keySize=1024}",0.001572412,116,
12,"{rating=T,keySize=1024,keyAlg=\RSA\""}""",0.001558857,115,
35,"{rating=T,keySize=null,keyAlg=null,sigAlg=null}",0.001491081,110,
42,"{rating=T,keySize=null,sigAlg=null}",0.001491081,110,
50,"{rating=T,keySize=null,keyAlg=null}",0.001491081,110,
57,"{rating=T,keySize=null}",0.001491081,110,
66,"{rating=T,keyAlg=null,sigAlg=null}",0.001491081,110,
73,"{rating=T,sigAlg=null}",0.001491081,110,
81,"{rating=T,keyAlg=null}",0.001491081,110,
13,"{rating=F,keySize=1024,keyAlg=\RSA\""}""",0.001409749,104,
15,"{rating=F,keySize=1024}",0.001409749,104,
9,"{rating=T,keySize=1024,keyAlg=\RSA\""","sigAlg=\""SHA1withRSA\""}""",0.001125088,83
11,"{rating=T,keySize=1024,sigAlg=\SHA1withRSA\""}""",0.001125088,83,
1,"{keyAlg=\RSA\""","sigAlg=\""SHA512withRSA\""}""",0.001111533,82
213,"{sigAlg=\SHA512withRSA\""}""",0.001111533,82,
