"","rules","support","confidence","lift","count"
"74","{rating=A-,keySize=4096} => {keyAlg=\"RSA\"}",0.00509678468795749,1,1.06596153568281,376
"121","{rating=A-,keySize=4096,sigAlg=\"SHA256withRSA\"} => {keyAlg=\"RSA\"}",0.00509678468795749,1,1.06596153568281,376
"122","{rating=A-,keySize=4096,keyAlg=\"RSA\"} => {sigAlg=\"SHA256withRSA\"}",0.00509678468795749,1,1.07218952111038,376
"30","{rating=B,keySize=null} => {keyAlg=null}",0.00487990023315079,1,46.6026531901453,360
"31","{rating=B,keyAlg=null} => {keySize=null}",0.00487990023315079,1,46.6026531901453,360
"44","{rating=B,keySize=null} => {sigAlg=null}",0.00487990023315079,1,46.6026531901453,360
"45","{rating=B,sigAlg=null} => {keySize=null}",0.00487990023315079,1,46.6026531901453,360
"58","{rating=B,keyAlg=null} => {sigAlg=null}",0.00487990023315079,1,46.6026531901453,360
"59","{rating=B,sigAlg=null} => {keyAlg=null}",0.00487990023315079,1,46.6026531901453,360
"104","{rating=B,keySize=null,keyAlg=null} => {sigAlg=null}",0.00487990023315079,1,46.6026531901453,360
"105","{rating=B,keySize=null,sigAlg=null} => {keyAlg=null}",0.00487990023315079,1,46.6026531901453,360
"106","{rating=B,keyAlg=null,sigAlg=null} => {keySize=null}",0.00487990023315079,1,46.6026531901453,360
"71","{rating=C,keySize=4096} => {keyAlg=\"RSA\"}",0.00471723689204576,1,1.06596153568281,348
"119","{rating=C,keySize=4096,sigAlg=\"SHA256withRSA\"} => {keyAlg=\"RSA\"}",0.00470368161362034,1,1.06596153568281,347
"65","{rating=A+,sigAlg=\"SHA256withECDSA\"} => {keyAlg=\"EC\"}",0.00451390771566448,1,24.7557046979866,333
"69","{keySize=256,sigAlg=\"SHA256withRSA\"} => {keyAlg=\"EC\"}",0.00440546548826113,1,24.7557046979866,325
"113","{rating=A+,keySize=256,sigAlg=\"SHA256withECDSA\"} => {keyAlg=\"EC\"}",0.00412080464132733,1,24.7557046979866,304
"17","{rating=F,sigAlg=\"SHA1withRSA\"} => {keyAlg=\"RSA\"}",0.00401236241392398,1,1.06596153568281,296
"70","{rating=T,keySize=4096} => {keyAlg=\"RSA\"}",0.00364636989643767,1,1.06596153568281,269
"72","{rating=F,keySize=4096} => {keyAlg=\"RSA\"}",0.0035243723906089,1,1.06596153568281,260
"120","{rating=F,keySize=4096,sigAlg=\"SHA256withRSA\"} => {keyAlg=\"RSA\"}",0.00342948544163097,1,1.06596153568281,253
"117","{rating=T,keySize=4096,sigAlg=\"SHA256withRSA\"} => {keyAlg=\"RSA\"}",0.00325326682210053,1,1.06596153568281,240
"91","{rating=F,keySize=2048,sigAlg=\"SHA1withRSA\"} => {keyAlg=\"RSA\"}",0.00298216125359215,1,1.06596153568281,220
"2","{keySize=384} => {keyAlg=\"EC\"}",0.00290082958303964,1,24.7557046979866,214
"32","{rating=A+,keySize=null} => {keyAlg=null}",0.00268394512823293,1,46.6026531901453,198
"33","{rating=A+,keyAlg=null} => {keySize=null}",0.00268394512823293,1,46.6026531901453,198
"46","{rating=A+,keySize=null} => {sigAlg=null}",0.00268394512823293,1,46.6026531901453,198
"47","{rating=A+,sigAlg=null} => {keySize=null}",0.00268394512823293,1,46.6026531901453,198
"60","{rating=A+,keyAlg=null} => {sigAlg=null}",0.00268394512823293,1,46.6026531901453,198
"61","{rating=A+,sigAlg=null} => {keyAlg=null}",0.00268394512823293,1,46.6026531901453,198
"107","{rating=A+,keySize=null,keyAlg=null} => {sigAlg=null}",0.00268394512823293,1,46.6026531901453,198
"108","{rating=A+,keySize=null,sigAlg=null} => {keyAlg=null}",0.00268394512823293,1,46.6026531901453,198
"109","{rating=A+,keyAlg=null,sigAlg=null} => {keySize=null}",0.00268394512823293,1,46.6026531901453,198
"26","{rating=F,keySize=null} => {keyAlg=null}",0.00253483706555333,1,46.6026531901453,187
"27","{rating=F,keyAlg=null} => {keySize=null}",0.00253483706555333,1,46.6026531901453,187
"40","{rating=F,keySize=null} => {sigAlg=null}",0.00253483706555333,1,46.6026531901453,187
"41","{rating=F,sigAlg=null} => {keySize=null}",0.00253483706555333,1,46.6026531901453,187
"54","{rating=F,keyAlg=null} => {sigAlg=null}",0.00253483706555333,1,46.6026531901453,187
"55","{rating=F,sigAlg=null} => {keyAlg=null}",0.00253483706555333,1,46.6026531901453,187
"98","{rating=F,keySize=null,keyAlg=null} => {sigAlg=null}",0.00253483706555333,1,46.6026531901453,187
"99","{rating=F,keySize=null,sigAlg=null} => {keyAlg=null}",0.00253483706555333,1,46.6026531901453,187
"100","{rating=F,keyAlg=null,sigAlg=null} => {keySize=null}",0.00253483706555333,1,46.6026531901453,187
"116","{rating=A,keySize=256,sigAlg=\"SHA256withRSA\"} => {keyAlg=\"EC\"}",0.00248061595185165,1,24.7557046979866,183
"13","{keySize=384,sigAlg=\"SHA256withRSA\"} => {keyAlg=\"EC\"}",0.00239928428129914,1,24.7557046979866,177
"12","{rating=A+,keySize=384} => {keyAlg=\"EC\"}",0.0020875128775145,1,24.7557046979866,154
"14","{keySize=1024,sigAlg=\"SHA1withRSA\"} => {keyAlg=\"RSA\"}",0.00207395759908909,1,1.06596153568281,153
"24","{rating=C,keySize=null} => {keyAlg=null}",0.00200618120696199,1,46.6026531901453,148
"25","{rating=C,keyAlg=null} => {keySize=null}",0.00200618120696199,1,46.6026531901453,148
"38","{rating=C,keySize=null} => {sigAlg=null}",0.00200618120696199,1,46.6026531901453,148
"39","{rating=C,sigAlg=null} => {keySize=null}",0.00200618120696199,1,46.6026531901453,148
"52","{rating=C,keyAlg=null} => {sigAlg=null}",0.00200618120696199,1,46.6026531901453,148
"53","{rating=C,sigAlg=null} => {keyAlg=null}",0.00200618120696199,1,46.6026531901453,148
"95","{rating=C,keySize=null,keyAlg=null} => {sigAlg=null}",0.00200618120696199,1,46.6026531901453,148
"96","{rating=C,keySize=null,sigAlg=null} => {keyAlg=null}",0.00200618120696199,1,46.6026531901453,148
"97","{rating=C,keyAlg=null,sigAlg=null} => {keySize=null}",0.00200618120696199,1,46.6026531901453,148
"28","{rating=A-,keySize=null} => {keyAlg=null}",0.00177574147372987,1,46.6026531901453,131
"29","{rating=A-,keyAlg=null} => {keySize=null}",0.00177574147372987,1,46.6026531901453,131
"42","{rating=A-,keySize=null} => {sigAlg=null}",0.00177574147372987,1,46.6026531901453,131
"43","{rating=A-,sigAlg=null} => {keySize=null}",0.00177574147372987,1,46.6026531901453,131
"56","{rating=A-,keyAlg=null} => {sigAlg=null}",0.00177574147372987,1,46.6026531901453,131
"57","{rating=A-,sigAlg=null} => {keyAlg=null}",0.00177574147372987,1,46.6026531901453,131
"101","{rating=A-,keySize=null,keyAlg=null} => {sigAlg=null}",0.00177574147372987,1,46.6026531901453,131
"102","{rating=A-,keySize=null,sigAlg=null} => {keyAlg=null}",0.00177574147372987,1,46.6026531901453,131
"103","{rating=A-,keyAlg=null,sigAlg=null} => {keySize=null}",0.00177574147372987,1,46.6026531901453,131
"88","{rating=A+,keySize=384,sigAlg=\"SHA256withRSA\"} => {keyAlg=\"EC\"}",0.00174863091687903,1,24.7557046979866,129
